0,1,3,4,5,10,12,20,21,22,23,25,33,34,Plus,Minus,Plus/Minus,# Possessions,,,
x,,,,,,,,x,,x,x,,x,5,0,5,4,,,
x,,,,,x,,x,x,,x,,,,2,2,0,6,,,
,,,,,x,,x,x,,x,,x,,2,1,1,3,,,
,x,,,,x,,x,x,,,,x,,9,2,7,7,,,
x,,,,,x,x,,x,,,,x,,7,0,7,12,,,
x,,,,,x,,,x,,x,,x,,0,3,-3,1,,,
,,,,,,,x,x,x,x,x,,,2,0,2,4,,,
,,,x,,,,x,,x,x,x,,,4,0,4,7,,,
,,,x,,,,x,,x,,x,,x,4,0,4,6,,,
,x,,x,,,,,,x,,x,,x,2,2,0,4,,,
,x,,,,,x,,,x,,x,,x,0,0,0,1,,,
,x,,,,x,x,x,,,,,,x,2,6,-4,5,,,
,x,,,,x,,x,x,,,,x,,6,5,1,14,,,
x,,,,,,,,x,x,x,x,,,8,8,0,15,,,
,x,,,,,,x,,,x,x,,x,2,2,0,7,,,
,x,,,,,,x,,x,,x,,x,11,6,5,16,,,
x,,,,,x,x,,x,,,,x,,7,11,-4,16,,,
,,,,x,,x,,,x,,x,,x,1,1,0,4,,,
,,x,,x,,,,,x,,x,,x,0,2,-2,4,,,
x,,,,,x,x,,x,,,,x,,9,5,4,14,,,
x,,,,x,x,x,x,,,,,,,0,2,-2,1,,,
x,,x,,x,,x,x,,,,,,,0,0,0,3,,,
,,x,,x,,,x,,x,,,,x,1,2,-1,2,,,
,,,,x,,,x,,x,,x,x,,0,0,0,1,,,
,,,,x,,x,x,,,,x,x,,0,0,0,2,,,
x,,,,,x,x,,,,,x,x,,2,5,-3,5,,,
,,x,,x,,,,x,x,,,,x,0,1,-1,2,,,
,,,,,,x,,x,x,,,x,x,2,0,2,5,,,
x,,,,,x,x,,,,,x,x,,0,0,0,2,,,
x,,x,,,x,x,,,,,x,,,0,2,-2,4,,,
,,,,x,,,x,x,x,,,x,,2,0,2,4,,,
x,,,,,x,x,,x,,,,x,,9,6,3,16,,,
x,,,,x,x,,x,x,,,,,,3,2,1,2,,,
x,,,,x,x,,x,,,,x,,,0,0,0,1,,,
x,,,,x,,x,x,,,,x,,,0,2,-2,1,,,
,,,,x,,x,x,x,,,,x,,2,2,0,7,,,
x,,,,,x,x,,x,,,,,x,1,1,0,5,,,
x,,x,,,x,x,,,,,,,x,0,0,0,1,,,
,x,x,,,,x,,,,,,x,x,4,5,-1,4,,,
,x,x,,,,x,,,x,,,x,,0,2,-2,1,,,
,,x,,x,,x,,,x,,,x,,2,2,0,2,,,
,,,,x,x,x,,,x,,,x,,0,0,0,3,,,
x,,,,,x,,,x,,,,x,x,1,2,-1,4,,,
x,,,,,x,x,,x,,,,x,,0,1,-1,8,,,
x,,x,,,x,x,,x,,,,,,8,4,4,11,,,
x,,x,,,x,x,,,,,,,x,1,0,1,3,,,
x,,x,,,x,x,,x,,,,,,2,0,2,3,,,
x,,,,,x,x,,x,,,x,,,2,0,2,1,,,
x,,x,,,x,x,,x,,,,,,0,0,0,1,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
